"Year","Canton","TypeofOwner","NrofOwners","TotalArea","ProductiveArea","Hardwood","Softwood","TotalSpecies"
"1976","Appenzell Ausserrhoden","Type of owners - Total","4141","6357","6332","78069","6667","84736"
"1976","Appenzell Ausserrhoden","Private forest","4116","4962","4962","53485","3737","57222"
"1976","Appenzell Ausserrhoden","Public forest","25","1395","1370","24584","2930","27514"
"1976","Appenzell Ausserrhoden",">>Federal forest","1","163","163",NA,NA,NA
"1976","Appenzell Ausserrhoden",">>Cantonal forest","1","274","253",NA,NA,NA
"1976","Appenzell Ausserrhoden",">>Municipality forest","21","945","941",NA,NA,NA
"1976","Appenzell Ausserrhoden",">>Bourgeois forest","0","0","0",NA,NA,NA
"1976","Appenzell Ausserrhoden",">>Other public forest","2","13","13",NA,NA,NA
"1976","Appenzell Innerrhoden","Type of owners - Total","1687","5004","4510","47755","577","48332"
"1976","Appenzell Innerrhoden","Private forest","1663","3099","3099","21605","517","22122"
"1976","Appenzell Innerrhoden","Public forest","24","1905","1411","26150","60","26210"
"1976","Appenzell Innerrhoden",">>Federal forest","0","0","0",NA,NA,NA
"1976","Appenzell Innerrhoden",">>Cantonal forest","1","133","111",NA,NA,NA
"1976","Appenzell Innerrhoden",">>Municipality forest","0","0","0",NA,NA,NA
"1976","Appenzell Innerrhoden",">>Bourgeois forest","0","0","0",NA,NA,NA
"1976","Appenzell Innerrhoden",">>Other public forest","23","1772","1300",NA,NA,NA
"1976","St. Gallen","Type of owners - Total","14383","50318","46635","612335","70825","683160"
"1976","St. Gallen","Private forest","14123","18273","18273","211896","17635","229531"
"1976","St. Gallen","Public forest","260","32045","28362","400439","53190","453629"
"1976","St. Gallen",">>Federal forest","1","52","48",NA,NA,NA
"1976","St. Gallen",">>Cantonal forest","1","1986","1762",NA,NA,NA
"1976","St. Gallen",">>Municipality forest","29","425","407",NA,NA,NA
"1976","St. Gallen",">>Bourgeois forest","111","24917","21912",NA,NA,NA
"1976","St. Gallen",">>Other public forest","118","4665","4233",NA,NA,NA
"1976","Graubünden / Grigioni / Grischun","Type of owners - Total","10248","169698","135391","734426","80975","815401"
"1976","Graubünden / Grigioni / Grischun","Private forest","9980","14418","14418","12665","1335","14000"
"1976","Graubünden / Grigioni / Grischun","Public forest","268","155280","120973","721761","79640","801401"
"1976","Graubünden / Grigioni / Grischun",">>Federal forest","1","224","46",NA,NA,NA
"1976","Graubünden / Grigioni / Grischun",">>Cantonal forest","1","778","533",NA,NA,NA
"1976","Graubünden / Grigioni / Grischun",">>Municipality forest","231","149364","116377",NA,NA,NA
"1976","Graubünden / Grigioni / Grischun",">>Bourgeois forest","0","0","0",NA,NA,NA
"1976","Graubünden / Grigioni / Grischun",">>Other public forest","35","4914","4017",NA,NA,NA
"1976","Thurgau","Type of owners - Total","8850","19058","18882","335100","120640","455740"
"1976","Thurgau","Private forest","8716","10499","10499","176925","34500","211425"
"1976","Thurgau","Public forest","134","8559","8383","158175","86140","244315"
"1976","Thurgau",">>Federal forest","1","192","127",NA,NA,NA
"1976","Thurgau",">>Cantonal forest","1","1359","1356",NA,NA,NA
"1976","Thurgau",">>Municipality forest","0","0","0",NA,NA,NA
"1976","Thurgau",">>Bourgeois forest","123","6148","6041",NA,NA,NA
"1976","Thurgau",">>Other public forest","9","860","859",NA,NA,NA
"1977","Glarus","Type of owners - Total","1458","16482","14310","132550","7455","140005"
"1977","Glarus","Private forest","1420","1646","1646","1560","0","1560"
"1977","Glarus","Public forest","38","14836","12664","130990","7455","138445"
"1977","Glarus",">>Federal forest","1","131","93",NA,NA,NA
"1977","Glarus",">>Cantonal forest","1","86","80",NA,NA,NA
"1977","Glarus",">>Municipality forest","1","54","48",NA,NA,NA
"1977","Glarus",">>Bourgeois forest","31","14338","12224",NA,NA,NA
"1977","Glarus",">>Other public forest","4","227","219",NA,NA,NA
"1977","Schaffhausen","Type of owners - Total","1998","12498","12327","249685","34100","283785"
"1977","Schaffhausen","Private forest","1966","1907","1907","27210","1450","28660"
"1977","Schaffhausen","Public forest","32","10591","10420","222475","32650","255125"
"1977","Schaffhausen",">>Federal forest","0","0","0",NA,NA,NA
"1977","Schaffhausen",">>Cantonal forest","1","2139","2091",NA,NA,NA
"1977","Schaffhausen",">>Municipality forest","30","8444","8321",NA,NA,NA
"1977","Schaffhausen",">>Bourgeois forest","0","0","0",NA,NA,NA
"1977","Schaffhausen",">>Other public forest","1","8","8",NA,NA,NA
"1977","Appenzell Ausserrhoden","Type of owners - Total","4018","5894","5868","52095","5287","57382"
"1977","Appenzell Ausserrhoden","Private forest","3993","4456","4456","37885","4122","42007"
"1977","Appenzell Ausserrhoden","Public forest","25","1438","1412","14210","1165","15375"
"1977","Appenzell Ausserrhoden",">>Federal forest","1","163","163",NA,NA,NA
"1977","Appenzell Ausserrhoden",">>Cantonal forest","1","293","272",NA,NA,NA
"1977","Appenzell Ausserrhoden",">>Municipality forest","21","969","964",NA,NA,NA
"1977","Appenzell Ausserrhoden",">>Bourgeois forest","0","0","0",NA,NA,NA
"1977","Appenzell Ausserrhoden",">>Other public forest","2","13","13",NA,NA,NA
"1977","Appenzell Innerrhoden","Type of owners - Total","1674","5004","4510","22890","1280","24170"
"1977","Appenzell Innerrhoden","Private forest","1650","3099","3099","12540","1130","13670"
"1977","Appenzell Innerrhoden","Public forest","24","1905","1411","10350","150","10500"
"1977","Appenzell Innerrhoden",">>Federal forest","0","0","0",NA,NA,NA
"1977","Appenzell Innerrhoden",">>Cantonal forest","1","133","111",NA,NA,NA
"1977","Appenzell Innerrhoden",">>Municipality forest","0","0","0",NA,NA,NA
"1977","Appenzell Innerrhoden",">>Bourgeois forest","0","0","0",NA,NA,NA
"1977","Appenzell Innerrhoden",">>Other public forest","23","1772","1300",NA,NA,NA
"1977","St. Gallen","Type of owners - Total","14841","50322","46654","619775","105946","725721"
"1977","St. Gallen","Private forest","14582","18289","18289","224791","32765","257556"
"1977","St. Gallen","Public forest","259","32033","28365","394984","73181","468165"
"1977","St. Gallen",">>Federal forest","1","52","48",NA,NA,NA
"1977","St. Gallen",">>Cantonal forest","1","1979","1755",NA,NA,NA
"1977","St. Gallen",">>Municipality forest","29","426","408",NA,NA,NA
"1977","St. Gallen",">>Bourgeois forest","111","24909","21914",NA,NA,NA
"1977","St. Gallen",">>Other public forest","117","4667","4240",NA,NA,NA
"1977","Graubünden / Grigioni / Grischun","Type of owners - Total","10250","171195","136612","840665","65545","906210"
"1977","Graubünden / Grigioni / Grischun","Private forest","9982","14383","14383","18530","950","19480"
"1977","Graubünden / Grigioni / Grischun","Public forest","268","156812","122229","822135","64595","886730"
"1977","Graubünden / Grigioni / Grischun",">>Federal forest","1","224","46",NA,NA,NA
"1977","Graubünden / Grigioni / Grischun",">>Cantonal forest","1","840","595",NA,NA,NA
"1977","Graubünden / Grigioni / Grischun",">>Municipality forest","231","150834","117571",NA,NA,NA
"1977","Graubünden / Grigioni / Grischun",">>Bourgeois forest","0","0","0",NA,NA,NA
"1977","Graubünden / Grigioni / Grischun",">>Other public forest","35","4914","4017",NA,NA,NA
"1977","Thurgau","Type of owners - Total","8844","18792","18662","291040","84658","375698"
"1977","Thurgau","Private forest","8712","10591","10591","157340","25225","182565"
"1977","Thurgau","Public forest","132","8201","8071","133700","59433","193133"
"1977","Thurgau",">>Federal forest","1","192","127",NA,NA,NA
"1977","Thurgau",">>Cantonal forest","1","1362","1359",NA,NA,NA
"1977","Thurgau",">>Municipality forest","0","0","0",NA,NA,NA
"1977","Thurgau",">>Bourgeois forest","122","5827","5766",NA,NA,NA
"1977","Thurgau",">>Other public forest","8","820","819",NA,NA,NA
"1978","Glarus","Type of owners - Total","1458","16501","14319","116380","18645","135025"
"1978","Glarus","Private forest","1420","1646","1646","420","0","420"
"1978","Glarus","Public forest","38","14855","12673","115960","18645","134605"
"1978","Glarus",">>Federal forest","1","131","93",NA,NA,NA
"1978","Glarus",">>Cantonal forest","1","86","80",NA,NA,NA
"1978","Glarus",">>Municipality forest","1","54","48",NA,NA,NA
"1978","Glarus",">>Bourgeois forest","31","14357","12233",NA,NA,NA
"1978","Glarus",">>Other public forest","4","227","219",NA,NA,NA
"1978","Schaffhausen","Type of owners - Total","2135","12560","12381","226530","41865","268395"
"1978","Schaffhausen","Private forest","2103","1967","1967","27450","2700","30150"
"1978","Schaffhausen","Public forest","32","10593","10414","199080","39165","238245"
"1978","Schaffhausen",">>Federal forest","0","0","0",NA,NA,NA
"1978","Schaffhausen",">>Cantonal forest","1","2138","2090",NA,NA,NA
"1978","Schaffhausen",">>Municipality forest","30","8447","8316",NA,NA,NA
"1978","Schaffhausen",">>Bourgeois forest","0","0","0",NA,NA,NA
"1978","Schaffhausen",">>Other public forest","1","8","8",NA,NA,NA
"1978","Appenzell Ausserrhoden","Type of owners - Total","4004","5899","5873","68811","6970","75781"
"1978","Appenzell Ausserrhoden","Private forest","3979","4453","4453","49276","3565","52841"
"1978","Appenzell Ausserrhoden","Public forest","25","1446","1420","19535","3405","22940"
"1978","Appenzell Ausserrhoden",">>Federal forest","1","163","163",NA,NA,NA
"1978","Appenzell Ausserrhoden",">>Cantonal forest","1","296","275",NA,NA,NA
"1978","Appenzell Ausserrhoden",">>Municipality forest","21","974","969",NA,NA,NA
"1978","Appenzell Ausserrhoden",">>Bourgeois forest","0","0","0",NA,NA,NA
"1978","Appenzell Ausserrhoden",">>Other public forest","2","13","13",NA,NA,NA
"1978","Appenzell Innerrhoden","Type of owners - Total","1674","5004","4510","33202","1920","35122"
"1978","Appenzell Innerrhoden","Private forest","1650","3100","3100","16952","1760","18712"
"1978","Appenzell Innerrhoden","Public forest","24","1904","1410","16250","160","16410"
"1978","Appenzell Innerrhoden",">>Federal forest","0","0","0",NA,NA,NA
"1978","Appenzell Innerrhoden",">>Cantonal forest","1","132","110",NA,NA,NA
"1978","Appenzell Innerrhoden",">>Municipality forest","0","0","0",NA,NA,NA
"1978","Appenzell Innerrhoden",">>Bourgeois forest","0","0","0",NA,NA,NA
"1978","Appenzell Innerrhoden",">>Other public forest","23","1772","1300",NA,NA,NA
"1978","St. Gallen","Type of owners - Total","15200","50385","46705","555516","104780","660296"
"1978","St. Gallen","Private forest","14940","18291","18291","224672","29948","254620"
"1978","St. Gallen","Public forest","260","32094","28414","330844","74832","405676"
"1978","St. Gallen",">>Federal forest","1","52","48",NA,NA,NA
"1978","St. Gallen",">>Cantonal forest","1","2007","1779",NA,NA,NA
"1978","St. Gallen",">>Municipality forest","29","428","409",NA,NA,NA
"1978","St. Gallen",">>Bourgeois forest","111","24935","21938",NA,NA,NA
"1978","St. Gallen",">>Other public forest","118","4672","4240",NA,NA,NA
"1978","Graubünden / Grigioni / Grischun","Type of owners - Total","10179","171758","136544","623530","106485","730015"
"1978","Graubünden / Grigioni / Grischun","Private forest","9909","14160","14160","19596","1180","20776"
"1978","Graubünden / Grigioni / Grischun","Public forest","270","157598","122384","603934","105305","709239"
"1978","Graubünden / Grigioni / Grischun",">>Federal forest","1","224","46",NA,NA,NA
"1978","Graubünden / Grigioni / Grischun",">>Cantonal forest","1","840","595",NA,NA,NA
"1978","Graubünden / Grigioni / Grischun",">>Municipality forest","231","151548","117684",NA,NA,NA
"1978","Graubünden / Grigioni / Grischun",">>Bourgeois forest","0","0","0",NA,NA,NA
"1978","Graubünden / Grigioni / Grischun",">>Other public forest","37","4986","4059",NA,NA,NA
"1978","Thurgau","Type of owners - Total","8819","19019","18892","338265","115327","453592"
"1978","Thurgau","Private forest","8711","10486","10486","164305","37910","202215"
"1978","Thurgau","Public forest","108","8533","8406","173960","77417","251377"
"1978","Thurgau",">>Federal forest","1","192","127",NA,NA,NA
"1978","Thurgau",">>Cantonal forest","1","1410","1404",NA,NA,NA
"1978","Thurgau",">>Municipality forest","0","0","0",NA,NA,NA
"1978","Thurgau",">>Bourgeois forest","97","6069","6015",NA,NA,NA
"1978","Thurgau",">>Other public forest","9","862","860",NA,NA,NA
"1979","Glarus","Type of owners - Total","1458","16525","14343","115692","9614","125306"
"1979","Glarus","Private forest","1420","1646","1646","802","44","846"
"1979","Glarus","Public forest","38","14879","12697","114890","9570","124460"
"1979","Glarus",">>Federal forest","1","131","93",NA,NA,NA
"1979","Glarus",">>Cantonal forest","1","86","80",NA,NA,NA
"1979","Glarus",">>Municipality forest","1","54","48",NA,NA,NA
"1979","Glarus",">>Bourgeois forest","31","14381","12257",NA,NA,NA
"1979","Glarus",">>Other public forest","4","227","219",NA,NA,NA
"1979","Schaffhausen","Type of owners - Total","2134","12564","12379","195510","51085","246595"
"1979","Schaffhausen","Private forest","2102","1964","1964","18755","2100","20855"
"1979","Schaffhausen","Public forest","32","10600","10415","176755","48985","225740"
"1979","Schaffhausen",">>Federal forest","0","0","0",NA,NA,NA
"1979","Schaffhausen",">>Cantonal forest","1","2146","2088",NA,NA,NA
"1979","Schaffhausen",">>Municipality forest","30","8446","8319",NA,NA,NA
"1979","Schaffhausen",">>Bourgeois forest","0","0","0",NA,NA,NA
"1979","Schaffhausen",">>Other public forest","1","8","8",NA,NA,NA
"1979","Appenzell Ausserrhoden","Type of owners - Total","4021","5944","5918","63560","5490","69050"
"1979","Appenzell Ausserrhoden","Private forest","3996","4498","4498","41980","2590","44570"
"1979","Appenzell Ausserrhoden","Public forest","25","1446","1420","21580","2900","24480"
"1979","Appenzell Ausserrhoden",">>Federal forest","1","163","163",NA,NA,NA
"1979","Appenzell Ausserrhoden",">>Cantonal forest","1","296","275",NA,NA,NA
"1979","Appenzell Ausserrhoden",">>Municipality forest","21","974","969",NA,NA,NA
"1979","Appenzell Ausserrhoden",">>Bourgeois forest","0","0","0",NA,NA,NA
"1979","Appenzell Ausserrhoden",">>Other public forest","2","13","13",NA,NA,NA
"1979","Appenzell Innerrhoden","Type of owners - Total","1676","4998","4772","24775","1486","26261"
"1979","Appenzell Innerrhoden","Private forest","1650","3100","3100","14525","1356","15881"
"1979","Appenzell Innerrhoden","Public forest","26","1898","1672","10250","130","10380"
"1979","Appenzell Innerrhoden",">>Federal forest","0","0","0",NA,NA,NA
"1979","Appenzell Innerrhoden",">>Cantonal forest","1","113","91",NA,NA,NA
"1979","Appenzell Innerrhoden",">>Municipality forest","0","0","0",NA,NA,NA
"1979","Appenzell Innerrhoden",">>Bourgeois forest","0","0","0",NA,NA,NA
