"Year","Canton","TypeofOwner","NrofOwners","TotalArea","ProductiveArea","Hardwood","Softwood","TotalSpecies"
"1985","Appenzell Innerrhoden",">>Bourgeois forest","0","0","0",NA,NA,NA
"1985","Appenzell Innerrhoden",">>Other public forest","25","1988","1780",NA,NA,NA
"1985","St. Gallen","Type of owners - Total","17293","51257","48411","453686","142036","595722"
"1985","St. Gallen","Private forest","17098","18470","18470","97182","29843","127025"
"1985","St. Gallen","Public forest","195","32787","29941","356504","112193","468697"
"1985","St. Gallen",">>Federal forest","1","139","135",NA,NA,NA
"1985","St. Gallen",">>Cantonal forest","1","2069","1841",NA,NA,NA
"1985","St. Gallen",">>Municipality forest","22","454","442",NA,NA,NA
"1985","St. Gallen",">>Bourgeois forest","81","25314","23079",NA,NA,NA
"1985","St. Gallen",">>Other public forest","90","4811","4444",NA,NA,NA
"1985","Graubünden / Grigioni / Grischun","Type of owners - Total","10163","178525","139291","594436","101923","696359"
"1985","Graubünden / Grigioni / Grischun","Private forest","9890","14305","14305","14560","170","14730"
"1985","Graubünden / Grigioni / Grischun","Public forest","273","164220","124986","579876","101753","681629"
"1985","Graubünden / Grigioni / Grischun",">>Federal forest","1","226","48",NA,NA,NA
"1985","Graubünden / Grigioni / Grischun",">>Cantonal forest","1","926","679",NA,NA,NA
"1985","Graubünden / Grigioni / Grischun",">>Municipality forest","221","156761","119186",NA,NA,NA
"1985","Graubünden / Grigioni / Grischun",">>Bourgeois forest","0","0","0",NA,NA,NA
"1985","Graubünden / Grigioni / Grischun",">>Other public forest","50","6307","5073",NA,NA,NA
"1985","Thurgau","Type of owners - Total","8666","19118","19032","247247","136931","384178"
"1985","Thurgau","Private forest","8572","10600","10600","121702","48890","170592"
"1985","Thurgau","Public forest","94","8518","8432","125545","88041","213586"
"1985","Thurgau",">>Federal forest","1","191","126",NA,NA,NA
"1985","Thurgau",">>Cantonal forest","1","1413","1407",NA,NA,NA
"1985","Thurgau",">>Municipality forest","2","51","51",NA,NA,NA
"1985","Thurgau",">>Bourgeois forest","73","5880","5866",NA,NA,NA
"1985","Thurgau",">>Other public forest","17","983","982",NA,NA,NA
"1986","Glarus","Type of owners - Total","1456","17441","14648","66925","17605","84530"
"1986","Glarus","Private forest","1418","1515","1515","900","0","900"
"1986","Glarus","Public forest","38","15926","13133","66025","17605","83630"
"1986","Glarus",">>Federal forest","1","131","93",NA,NA,NA
"1986","Glarus",">>Cantonal forest","1","86","80",NA,NA,NA
"1986","Glarus",">>Municipality forest","1","54","48",NA,NA,NA
"1986","Glarus",">>Bourgeois forest","31","15427","12692",NA,NA,NA
"1986","Glarus",">>Other public forest","4","228","220",NA,NA,NA
"1986","Schaffhausen","Type of owners - Total","2149","12631","12433","119040","65370","184410"
"1986","Schaffhausen","Private forest","2117","1977","1977","9370","1125","10495"
"1986","Schaffhausen","Public forest","32","10654","10456","109670","64245","173915"
"1986","Schaffhausen",">>Federal forest","0","0","0",NA,NA,NA
"1986","Schaffhausen",">>Cantonal forest","1","2189","2122",NA,NA,NA
"1986","Schaffhausen",">>Municipality forest","30","8457","8326",NA,NA,NA
"1986","Schaffhausen",">>Bourgeois forest","0","0","0",NA,NA,NA
"1986","Schaffhausen",">>Other public forest","1","8","8",NA,NA,NA
"1986","Appenzell Ausserrhoden","Type of owners - Total","4046","6165","6140","45005","6140","51145"
"1986","Appenzell Ausserrhoden","Private forest","4021","4628","4628","30075","3710","33785"
"1986","Appenzell Ausserrhoden","Public forest","25","1537","1512","14930","2430","17360"
"1986","Appenzell Ausserrhoden",">>Federal forest","1","179","179",NA,NA,NA
"1986","Appenzell Ausserrhoden",">>Cantonal forest","1","347","328",NA,NA,NA
"1986","Appenzell Ausserrhoden",">>Municipality forest","21","998","992",NA,NA,NA
"1986","Appenzell Ausserrhoden",">>Bourgeois forest","0","0","0",NA,NA,NA
"1986","Appenzell Ausserrhoden",">>Other public forest","2","13","13",NA,NA,NA
"1986","Appenzell Innerrhoden","Type of owners - Total","1676","4408","4200","30007","3028","33035"
"1986","Appenzell Innerrhoden","Private forest","1650","2359","2359","6317","173","6490"
"1986","Appenzell Innerrhoden","Public forest","26","2049","1841","23690","2855","26545"
"1986","Appenzell Innerrhoden",">>Federal forest","0","0","0",NA,NA,NA
"1986","Appenzell Innerrhoden",">>Cantonal forest","1","61","61",NA,NA,NA
"1986","Appenzell Innerrhoden",">>Municipality forest","0","0","0",NA,NA,NA
"1986","Appenzell Innerrhoden",">>Bourgeois forest","0","0","0",NA,NA,NA
"1986","Appenzell Innerrhoden",">>Other public forest","25","1988","1780",NA,NA,NA
"1986","St. Gallen","Type of owners - Total","16295","51336","48490","407268","122783","530051"
"1986","St. Gallen","Private forest","16143","18347","18347","118271","43910","162181"
"1986","St. Gallen","Public forest","152","32989","30143","288997","78873","367870"
"1986","St. Gallen",">>Federal forest","1","150","146",NA,NA,NA
"1986","St. Gallen",">>Cantonal forest","1","2060","1819",NA,NA,NA
"1986","St. Gallen",">>Municipality forest","12","360","349",NA,NA,NA
"1986","St. Gallen",">>Bourgeois forest","82","25839","23613",NA,NA,NA
"1986","St. Gallen",">>Other public forest","56","4580","4216",NA,NA,NA
"1986","Graubünden / Grigioni / Grischun","Type of owners - Total","10554","179148","139686","620815","124358","745173"
"1986","Graubünden / Grigioni / Grischun","Private forest","10280","14650","14650","6814","1118","7932"
"1986","Graubünden / Grigioni / Grischun","Public forest","274","164498","125036","614001","123240","737241"
"1986","Graubünden / Grigioni / Grischun",">>Federal forest","1","226","48",NA,NA,NA
"1986","Graubünden / Grigioni / Grischun",">>Cantonal forest","1","926","679",NA,NA,NA
"1986","Graubünden / Grigioni / Grischun",">>Municipality forest","221","156927","119218",NA,NA,NA
"1986","Graubünden / Grigioni / Grischun",">>Bourgeois forest","0","0","0",NA,NA,NA
"1986","Graubünden / Grigioni / Grischun",">>Other public forest","51","6419","5091",NA,NA,NA
"1986","Thurgau","Type of owners - Total","8468","19185","19102","211891","141656","353547"
"1986","Thurgau","Private forest","8375","10716","10716","111521","73295","184816"
"1986","Thurgau","Public forest","93","8469","8386","100370","68361","168731"
"1986","Thurgau",">>Federal forest","1","191","126",NA,NA,NA
"1986","Thurgau",">>Cantonal forest","1","1414","1407",NA,NA,NA
"1986","Thurgau",">>Municipality forest","2","51","51",NA,NA,NA
"1986","Thurgau",">>Bourgeois forest","73","5878","5868",NA,NA,NA
"1986","Thurgau",">>Other public forest","16","935","934",NA,NA,NA
"1987","Glarus","Type of owners - Total","1456","18262","15157","58605","2460","61065"
"1987","Glarus","Private forest","1418","1514","1514","800","0","800"
"1987","Glarus","Public forest","38","16748","13643","57805","2460","60265"
"1987","Glarus",">>Federal forest","1","131","93",NA,NA,NA
"1987","Glarus",">>Cantonal forest","1","86","80",NA,NA,NA
"1987","Glarus",">>Municipality forest","1","54","48",NA,NA,NA
"1987","Glarus",">>Bourgeois forest","31","16249","13202",NA,NA,NA
"1987","Glarus",">>Other public forest","4","228","220",NA,NA,NA
"1987","Schaffhausen","Type of owners - Total","2149","12631","12433","128680","86810","215490"
"1987","Schaffhausen","Private forest","2117","1977","1977","9840","4525","14365"
"1987","Schaffhausen","Public forest","32","10654","10456","118840","82285","201125"
"1987","Schaffhausen",">>Federal forest","0","0","0",NA,NA,NA
"1987","Schaffhausen",">>Cantonal forest","1","2189","2122",NA,NA,NA
"1987","Schaffhausen",">>Municipality forest","30","8457","8326",NA,NA,NA
"1987","Schaffhausen",">>Bourgeois forest","0","0","0",NA,NA,NA
"1987","Schaffhausen",">>Other public forest","1","8","8",NA,NA,NA
"1987","Appenzell Ausserrhoden","Type of owners - Total","4046","6170","6145","33955","3965","37920"
"1987","Appenzell Ausserrhoden","Private forest","4021","4613","4613","25010","2040","27050"
"1987","Appenzell Ausserrhoden","Public forest","25","1557","1532","8945","1925","10870"
"1987","Appenzell Ausserrhoden",">>Federal forest","1","179","179",NA,NA,NA
"1987","Appenzell Ausserrhoden",">>Cantonal forest","1","367","348",NA,NA,NA
"1987","Appenzell Ausserrhoden",">>Municipality forest","21","998","992",NA,NA,NA
"1987","Appenzell Ausserrhoden",">>Bourgeois forest","0","0","0",NA,NA,NA
"1987","Appenzell Ausserrhoden",">>Other public forest","2","13","13",NA,NA,NA
"1987","Appenzell Innerrhoden","Type of owners - Total","1676","5023","4814","10182","184","10366"
"1987","Appenzell Innerrhoden","Private forest","1650","2960","2960","4472","184","4656"
"1987","Appenzell Innerrhoden","Public forest","26","2063","1854","5710","0","5710"
"1987","Appenzell Innerrhoden",">>Federal forest","0","0","0",NA,NA,NA
"1987","Appenzell Innerrhoden",">>Cantonal forest","1","61","61",NA,NA,NA
"1987","Appenzell Innerrhoden",">>Municipality forest","0","0","0",NA,NA,NA
"1987","Appenzell Innerrhoden",">>Bourgeois forest","0","0","0",NA,NA,NA
"1987","Appenzell Innerrhoden",">>Other public forest","25","2002","1793",NA,NA,NA
"1987","St. Gallen","Type of owners - Total","16707","51788","48863","343185","121202","464387"
"1987","St. Gallen","Private forest","16556","18618","18618","97173","24278","121451"
"1987","St. Gallen","Public forest","151","33170","30245","246012","96924","342936"
"1987","St. Gallen",">>Federal forest","1","150","146",NA,NA,NA
"1987","St. Gallen",">>Cantonal forest","1","2060","1819",NA,NA,NA
"1987","St. Gallen",">>Municipality forest","12","360","349",NA,NA,NA
"1987","St. Gallen",">>Bourgeois forest","81","26014","23704",NA,NA,NA
"1987","St. Gallen",">>Other public forest","56","4586","4227",NA,NA,NA
"1987","Graubünden / Grigioni / Grischun","Type of owners - Total","10621","180569","140288","598095","133200","731295"
"1987","Graubünden / Grigioni / Grischun","Private forest","10346","14909","14909","9550","1500","11050"
"1987","Graubünden / Grigioni / Grischun","Public forest","275","165660","125379","588545","131700","720245"
"1987","Graubünden / Grigioni / Grischun",">>Federal forest","1","226","48",NA,NA,NA
"1987","Graubünden / Grigioni / Grischun",">>Cantonal forest","1","926","661",NA,NA,NA
"1987","Graubünden / Grigioni / Grischun",">>Municipality forest","220","157809","119323",NA,NA,NA
"1987","Graubünden / Grigioni / Grischun",">>Bourgeois forest","1","142","120",NA,NA,NA
"1987","Graubünden / Grigioni / Grischun",">>Other public forest","52","6557","5227",NA,NA,NA
"1987","Thurgau","Type of owners - Total","8469","19194","19111","294626","183556","478182"
"1987","Thurgau","Private forest","8376","10724","10724","155013","66832","221845"
"1987","Thurgau","Public forest","93","8470","8387","139613","116724","256337"
"1987","Thurgau",">>Federal forest","1","191","126",NA,NA,NA
"1987","Thurgau",">>Cantonal forest","1","1413","1407",NA,NA,NA
"1987","Thurgau",">>Municipality forest","2","51","51",NA,NA,NA
"1987","Thurgau",">>Bourgeois forest","71","5844","5834",NA,NA,NA
"1987","Thurgau",">>Other public forest","18","971","969",NA,NA,NA
"1988","Glarus","Type of owners - Total","1446","18041","15123","57750","14700","72450"
"1988","Glarus","Private forest","1408","1419","1419","450","0","450"
"1988","Glarus","Public forest","38","16622","13704","57300","14700","72000"
"1988","Glarus",">>Federal forest","1","131","93",NA,NA,NA
"1988","Glarus",">>Cantonal forest","1","86","80",NA,NA,NA
"1988","Glarus",">>Municipality forest","1","54","48",NA,NA,NA
"1988","Glarus",">>Bourgeois forest","31","16124","13264",NA,NA,NA
"1988","Glarus",">>Other public forest","4","227","219",NA,NA,NA
"1988","Schaffhausen","Type of owners - Total","2149","12631","12433","118075","70705","188780"
"1988","Schaffhausen","Private forest","2117","1977","1977","9700","2050","11750"
"1988","Schaffhausen","Public forest","32","10654","10456","108375","68655","177030"
"1988","Schaffhausen",">>Federal forest","0","0","0",NA,NA,NA
"1988","Schaffhausen",">>Cantonal forest","1","2189","2122",NA,NA,NA
"1988","Schaffhausen",">>Municipality forest","30","8457","8326",NA,NA,NA
"1988","Schaffhausen",">>Bourgeois forest","0","0","0",NA,NA,NA
"1988","Schaffhausen",">>Other public forest","1","8","8",NA,NA,NA
"1988","Appenzell Ausserrhoden","Type of owners - Total","4046","6172","6147","54945","13410","68355"
"1988","Appenzell Ausserrhoden","Private forest","4021","4611","4611","38235","8735","46970"
"1988","Appenzell Ausserrhoden","Public forest","25","1561","1536","16710","4675","21385"
"1988","Appenzell Ausserrhoden",">>Federal forest","1","199","199",NA,NA,NA
"1988","Appenzell Ausserrhoden",">>Cantonal forest","1","351","332",NA,NA,NA
"1988","Appenzell Ausserrhoden",">>Municipality forest","21","998","992",NA,NA,NA
"1988","Appenzell Ausserrhoden",">>Bourgeois forest","0","0","0",NA,NA,NA
"1988","Appenzell Ausserrhoden",">>Other public forest","2","13","13",NA,NA,NA
"1988","Appenzell Innerrhoden","Type of owners - Total","1676","4421","4213","54625","4025","58650"
"1988","Appenzell Innerrhoden","Private forest","1650","2359","2359","27225","1800","29025"
"1988","Appenzell Innerrhoden","Public forest","26","2062","1854","27400","2225","29625"
"1988","Appenzell Innerrhoden",">>Federal forest","0","0","0",NA,NA,NA
"1988","Appenzell Innerrhoden",">>Cantonal forest","1","61","61",NA,NA,NA
"1988","Appenzell Innerrhoden",">>Municipality forest","0","0","0",NA,NA,NA
"1988","Appenzell Innerrhoden",">>Bourgeois forest","0","0","0",NA,NA,NA
"1988","Appenzell Innerrhoden",">>Other public forest","25","2001","1793",NA,NA,NA
"1988","St. Gallen","Type of owners - Total","17783","51330","48717","484236","212369","696605"
"1988","St. Gallen","Private forest","17631","18349","18349","164341","63714","228055"
"1988","St. Gallen","Public forest","152","32981","30368","319895","148655","468550"
"1988","St. Gallen",">>Federal forest","1","781","499",NA,NA,NA
"1988","St. Gallen",">>Cantonal forest","1","2045","1818",NA,NA,NA
"1988","St. Gallen",">>Municipality forest","13","358","346",NA,NA,NA
"1988","St. Gallen",">>Bourgeois forest","77","24873","23120",NA,NA,NA
"1988","St. Gallen",">>Other public forest","60","4924","4585",NA,NA,NA
"1988","Graubünden / Grigioni / Grischun","Type of owners - Total","11155","179663","140165","599951","195481","795432"
"1988","Graubünden / Grigioni / Grischun","Private forest","10876","14621","14621","12120","2775","14895"
"1988","Graubünden / Grigioni / Grischun","Public forest","279","165042","125544","587831","192706","780537"
"1988","Graubünden / Grigioni / Grischun",">>Federal forest","1","226","48",NA,NA,NA
"1988","Graubünden / Grigioni / Grischun",">>Cantonal forest","1","921","678",NA,NA,NA
"1988","Graubünden / Grigioni / Grischun",">>Municipality forest","223","157217","119503",NA,NA,NA
"1988","Graubünden / Grigioni / Grischun",">>Bourgeois forest","0","0","0",NA,NA,NA
"1988","Graubünden / Grigioni / Grischun",">>Other public forest","54","6678","5315",NA,NA,NA
"1988","Thurgau","Type of owners - Total","8558","19066","18967","237704","178975","416679"
"1988","Thurgau","Private forest","8465","10583","10583","116609","70185","186794"
"1988","Thurgau","Public forest","93","8483","8384","121095","108790","229885"
"1988","Thurgau",">>Federal forest","1","191","126",NA,NA,NA
"1988","Thurgau",">>Cantonal forest","1","1412","1406",NA,NA,NA
"1988","Thurgau",">>Municipality forest","2","51","51",NA,NA,NA
"1988","Thurgau",">>Bourgeois forest","71","5858","5832",NA,NA,NA
"1988","Thurgau",">>Other public forest","18","971","969",NA,NA,NA
"1989","Glarus","Type of owners - Total","1492","17985","15225","47245","15525","62770"
"1989","Glarus","Private forest","1454","1522","1522","200","180","380"
"1989","Glarus","Public forest","38","16463","13703","47045","15345","62390"
"1989","Glarus",">>Federal forest","1","135","97",NA,NA,NA
"1989","Glarus",">>Cantonal forest","1","86","80",NA,NA,NA
"1989","Glarus",">>Municipality forest","1","54","48",NA,NA,NA
"1989","Glarus",">>Bourgeois forest","31","15961","13258",NA,NA,NA
"1989","Glarus",">>Other public forest","4","227","220",NA,NA,NA
"1989","Schaffhausen","Type of owners - Total","2148","12634","12436","108945","53900","162845"
"1989","Schaffhausen","Private forest","2115","1976","1976","8090","1450","9540"
"1989","Schaffhausen","Public forest","33","10658","10460","100855","52450","153305"
"1989","Schaffhausen",">>Federal forest","1","1","1",NA,NA,NA
"1989","Schaffhausen",">>Cantonal forest","1","2189","2122",NA,NA,NA
"1989","Schaffhausen",">>Municipality forest","30","8460","8329",NA,NA,NA
"1989","Schaffhausen",">>Bourgeois forest","0","0","0",NA,NA,NA
"1989","Schaffhausen",">>Other public forest","1","8","8",NA,NA,NA
"1989","Appenzell Ausserrhoden","Type of owners - Total","4046","6173","6148","40575","19435","60010"
"1989","Appenzell Ausserrhoden","Private forest","4021","4596","4596","27100","12755","39855"
"1989","Appenzell Ausserrhoden","Public forest","25","1577","1552","13475","6680","20155"
"1989","Appenzell Ausserrhoden",">>Federal forest","1","179","179",NA,NA,NA
"1989","Appenzell Ausserrhoden",">>Cantonal forest","1","386","367",NA,NA,NA
"1989","Appenzell Ausserrhoden",">>Municipality forest","21","999","993",NA,NA,NA
"1989","Appenzell Ausserrhoden",">>Bourgeois forest","0","0","0",NA,NA,NA
"1989","Appenzell Ausserrhoden",">>Other public forest","2","13","13",NA,NA,NA
"1989","Appenzell Innerrhoden","Type of owners - Total","1676","4421","4213","64578","23361","87939"
"1989","Appenzell Innerrhoden","Private forest","1650","2359","2359","53125","19650","72775"
"1989","Appenzell Innerrhoden","Public forest","26","2062","1854","11453","3711","15164"
"1989","Appenzell Innerrhoden",">>Federal forest","0","0","0",NA,NA,NA
"1989","Appenzell Innerrhoden",">>Cantonal forest","1","61","61",NA,NA,NA
"1989","Appenzell Innerrhoden",">>Municipality forest","0","0","0",NA,NA,NA
"1989","Appenzell Innerrhoden",">>Bourgeois forest","0","0","0",NA,NA,NA
"1989","Appenzell Innerrhoden",">>Other public forest","25","2001","1793",NA,NA,NA
"1989","St. Gallen","Type of owners - Total","17781","51909","49296","352504","152368","504872"
"1989","St. Gallen","Private forest","17627","19189","19189","121738","36423","158161"
"1989","St. Gallen","Public forest","154","32720","30107","230766","115945","346711"
"1989","St. Gallen",">>Federal forest","1","104","100",NA,NA,NA
"1989","St. Gallen",">>Cantonal forest","1","2004","1789",NA,NA,NA
"1989","St. Gallen",">>Municipality forest","13","370","359",NA,NA,NA
"1989","St. Gallen",">>Bourgeois forest","78","25227","23196",NA,NA,NA
"1989","St. Gallen",">>Other public forest","61","5015","4663",NA,NA,NA
"1989","Graubünden / Grigioni / Grischun","Type of owners - Total","10495","180335","141077","508693","206450","715143"
"1989","Graubünden / Grigioni / Grischun","Private forest","10215","14480","14480","16015","1195","17210"
"1989","Graubünden / Grigioni / Grischun","Public forest","280","165855","126597","492678","205255","697933"
"1989","Graubünden / Grigioni / Grischun",">>Federal forest","1","216","38",NA,NA,NA
"1989","Graubünden / Grigioni / Grischun",">>Cantonal forest","1","921","690",NA,NA,NA
"1989","Graubünden / Grigioni / Grischun",">>Municipality forest","224","158057","120431",NA,NA,NA
"1989","Graubünden / Grigioni / Grischun",">>Bourgeois forest","0","0","0",NA,NA,NA
"1989","Graubünden / Grigioni / Grischun",">>Other public forest","54","6661","5438",NA,NA,NA
"1989","Thurgau","Type of owners - Total","8595","19534","19371","219419","152139","371558"
"1989","Thurgau","Private forest","8499","10761","10761","106310","56682","162992"
"1989","Thurgau","Public forest","96","8773","8610","113109","95457","208566"
"1989","Thurgau",">>Federal forest","1","374","240",NA,NA,NA
"1989","Thurgau",">>Cantonal forest","1","1413","1407",NA,NA,NA
"1989","Thurgau",">>Municipality forest","2","51","51",NA,NA,NA
"1989","Thurgau",">>Bourgeois forest","72","5868","5848",NA,NA,NA
"1989","Thurgau",">>Other public forest","20","1067","1064",NA,NA,NA
"1990","Glarus","Type of owners - Total","1492","17985","15232","35150","13730","48880"
"1990","Glarus","Private forest","1454","1522","1522","1000","0","1000"
"1990","Glarus","Public forest","38","16463","13710","34150","13730","47880"
"1990","Glarus",">>Federal forest","1","135","97",NA,NA,NA
"1990","Glarus",">>Cantonal forest","1","86","80",NA,NA,NA
"1990","Glarus",">>Municipality forest","1","54","48",NA,NA,NA
"1990","Glarus",">>Bourgeois forest","31","15961","13264",NA,NA,NA
"1990","Glarus",">>Other public forest","4","227","221",NA,NA,NA
"1990","Schaffhausen","Type of owners - Total","2148","12651","12471","106560","41240","147800"
"1990","Schaffhausen","Private forest","2115","1974","1974","10590","2395","12985"
"1990","Schaffhausen","Public forest","33","10677","10497","95970","38845","134815"
"1990","Schaffhausen",">>Federal forest","1","1","1",NA,NA,NA
"1990","Schaffhausen",">>Cantonal forest","1","2189","2122",NA,NA,NA
"1990","Schaffhausen",">>Municipality forest","30","8479","8366",NA,NA,NA
"1990","Schaffhausen",">>Bourgeois forest","0","0","0",NA,NA,NA
"1990","Schaffhausen",">>Other public forest","1","8","8",NA,NA,NA
"1990","Appenzell Ausserrhoden","Type of owners - Total","4264","7097","7060","23030","6795","29825"
"1990","Appenzell Ausserrhoden","Private forest","4239","5485","5485","18045","2120","20165"
"1990","Appenzell Ausserrhoden","Public forest","25","1612","1575","4985","4675","9660"
"1990","Appenzell Ausserrhoden",">>Federal forest","1","179","179",NA,NA,NA
"1990","Appenzell Ausserrhoden",">>Cantonal forest","1","412","379",NA,NA,NA
"1990","Appenzell Ausserrhoden",">>Municipality forest","21","1008","1004",NA,NA,NA
"1990","Appenzell Ausserrhoden",">>Bourgeois forest","0","0","0",NA,NA,NA
"1990","Appenzell Ausserrhoden",">>Other public forest","2","13","13",NA,NA,NA
"1990","Appenzell Innerrhoden","Type of owners - Total","1676","4421","4235","30585","5850","36435"
"1990","Appenzell Innerrhoden","Private forest","1650","2359","2359","19135","3420","22555"
"1990","Appenzell Innerrhoden","Public forest","26","2062","1876","11450","2430","13880"
"1990","Appenzell Innerrhoden",">>Federal forest","0","0","0",NA,NA,NA
"1990","Appenzell Innerrhoden",">>Cantonal forest","1","61","61",NA,NA,NA
"1990","Appenzell Innerrhoden",">>Municipality forest","0","0","0",NA,NA,NA
"1990","Appenzell Innerrhoden",">>Bourgeois forest","0","0","0",NA,NA,NA
"1990","Appenzell Innerrhoden",">>Other public forest","25","2001","1815",NA,NA,NA
"1990","St. Gallen","Type of owners - Total","17957","52000","49451","246685","102905","349590"
"1990","St. Gallen","Private forest","17806","19383","19383","95019","23918","118937"
"1990","St. Gallen","Public forest","151","32617","30068","151666","78987","230653"
"1990","St. Gallen",">>Federal forest","1","146","130",NA,NA,NA
"1990","St. Gallen",">>Cantonal forest","1","2009","1857",NA,NA,NA
"1990","St. Gallen",">>Municipality forest","13","370","359",NA,NA,NA
"1990","St. Gallen",">>Bourgeois forest","77","25163","23132",NA,NA,NA
"1990","St. Gallen",">>Other public forest","59","4929","4590",NA,NA,NA
"1990","Graubünden / Grigioni / Grischun","Type of owners - Total","10713","180471","141986","400321","145458","545779"
"1990","Graubünden / Grigioni / Grischun","Private forest","10437","14702","14702","7775","940","8715"
"1990","Graubünden / Grigioni / Grischun","Public forest","276","165769","127284","392546","144518","537064"
"1990","Graubünden / Grigioni / Grischun",">>Federal forest","1","242","60",NA,NA,NA
"1990","Graubünden / Grigioni / Grischun",">>Cantonal forest","1","921","690",NA,NA,NA
"1990","Graubünden / Grigioni / Grischun",">>Municipality forest","222","158162","121172",NA,NA,NA
"1990","Graubünden / Grigioni / Grischun",">>Bourgeois forest","0","0","0",NA,NA,NA
"1990","Graubünden / Grigioni / Grischun",">>Other public forest","52","6444","5362",NA,NA,NA
"1990","Thurgau","Type of owners - Total","8827","19359","19255","244501","163360","407861"
"1990","Thurgau","Private forest","8731","10734","10734","129155","59457","188612"
"1990","Thurgau","Public forest","96","8625","8521","115346","103903","219249"
"1990","Thurgau",">>Federal forest","1","212","138",NA,NA,NA
"1990","Thurgau",">>Cantonal forest","1","1424","1418",NA,NA,NA
"1990","Thurgau",">>Municipality forest","4","97","97",NA,NA,NA
"1990","Thurgau",">>Bourgeois forest","70","5825","5804",NA,NA,NA
"1990","Thurgau",">>Other public forest","20","1067","1064",NA,NA,NA
"1991","Glarus","Type of owners - Total","1492","18131","15299","31770","22075","53845"
"1991","Glarus","Private forest","1454","1522","1522","400","0","400"
"1991","Glarus","Public forest","38","16609","13777","31370","22075","53445"
"1991","Glarus",">>Federal forest","1","135","97",NA,NA,NA
"1991","Glarus",">>Cantonal forest","1","86","80",NA,NA,NA
"1991","Glarus",">>Municipality forest","1","48","46",NA,NA,NA
"1991","Glarus",">>Bourgeois forest","31","16113","13334",NA,NA,NA
"1991","Glarus",">>Other public forest","4","227","220",NA,NA,NA
"1991","Schaffhausen","Type of owners - Total","2146","12537","12469","84470","73455","157925"
"1991","Schaffhausen","Private forest","2114","1972","1972","8140","2475","10615"
"1991","Schaffhausen","Public forest","32","10565","10497","76330","70980","147310"
"1991","Schaffhausen",">>Federal forest","0","0","0",NA,NA,NA
"1991","Schaffhausen",">>Cantonal forest","1","2140","2123",NA,NA,NA
"1991","Schaffhausen",">>Municipality forest","30","8366","8315",NA,NA,NA
"1991","Schaffhausen",">>Bourgeois forest","0","0","0",NA,NA,NA
"1991","Schaffhausen",">>Other public forest","1","59","59",NA,NA,NA
"1991","Appenzell Ausserrhoden","Type of owners - Total","4264","6944","6907","30522","5951","36473"
"1991","Appenzell Ausserrhoden","Private forest","4239","5485","5485","20778","2984","23762"
"1991","Appenzell Ausserrhoden","Public forest","25","1459","1422","9744","2967","12711"
"1991","Appenzell Ausserrhoden",">>Federal forest","1","26","26",NA,NA,NA
"1991","Appenzell Ausserrhoden",">>Cantonal forest","1","412","379",NA,NA,NA
"1991","Appenzell Ausserrhoden",">>Municipality forest","21","1008","1004",NA,NA,NA
"1991","Appenzell Ausserrhoden",">>Bourgeois forest","0","0","0",NA,NA,NA
"1991","Appenzell Ausserrhoden",">>Other public forest","2","13","13",NA,NA,NA
"1991","Appenzell Innerrhoden","Type of owners - Total","2496","4481","4371","26200","6585","32785"
"1991","Appenzell Innerrhoden","Private forest","2471","2817","2817","11500","2610","14110"
"1991","Appenzell Innerrhoden","Public forest","25","1664","1554","14700","3975","18675"
"1991","Appenzell Innerrhoden",">>Federal forest","0","0","0",NA,NA,NA
"1991","Appenzell Innerrhoden",">>Cantonal forest","1","61","61",NA,NA,NA
"1991","Appenzell Innerrhoden",">>Municipality forest","0","0","0",NA,NA,NA
"1991","Appenzell Innerrhoden",">>Bourgeois forest","0","0","0",NA,NA,NA
"1991","Appenzell Innerrhoden",">>Other public forest","24","1603","1493",NA,NA,NA
"1991","St. Gallen","Type of owners - Total","18030","52629","50146","324161","226814","550975"
"1991","St. Gallen","Private forest","17877","19392","19392","75468","32216","107684"
"1991","St. Gallen","Public forest","153","33237","30754","248693","194598","443291"
"1991","St. Gallen",">>Federal forest","1","259","255",NA,NA,NA
"1991","St. Gallen",">>Cantonal forest","1","2009","1857",NA,NA,NA
"1991","St. Gallen",">>Municipality forest","13","370","359",NA,NA,NA
"1991","St. Gallen",">>Bourgeois forest","77","25505","23540",NA,NA,NA
"1991","St. Gallen",">>Other public forest","61","5094","4743",NA,NA,NA
"1991","Graubünden / Grigioni / Grischun","Type of owners - Total","10715","180898","142370","472562","165496","638058"
"1991","Graubünden / Grigioni / Grischun","Private forest","10437","14702","14702","7100","2469","9569"
"1991","Graubünden / Grigioni / Grischun","Public forest","278","166196","127668","465462","163027","628489"
"1991","Graubünden / Grigioni / Grischun",">>Federal forest","1","242","60",NA,NA,NA
"1991","Graubünden / Grigioni / Grischun",">>Cantonal forest","1","921","690",NA,NA,NA
"1991","Graubünden / Grigioni / Grischun",">>Municipality forest","222","158368","121378",NA,NA,NA
"1991","Graubünden / Grigioni / Grischun",">>Bourgeois forest","0","0","0",NA,NA,NA
"1991","Graubünden / Grigioni / Grischun",">>Other public forest","54","6665","5540",NA,NA,NA
"1991","Thurgau","Type of owners - Total","9181","19512","19414","218619","185448","404067"
"1991","Thurgau","Private forest","9086","10871","10871","96068","66991","163059"
"1991","Thurgau","Public forest","95","8641","8543","122551","118457","241008"
"1991","Thurgau",">>Federal forest","1","215","141",NA,NA,NA
