"Number of plantations in Swiss forest"

"Year";"Forest zone";"Canton";"Type of owner";"Wood species";"Number of plantations"
"1987";"Switzerland";"St. Gallen";"Type of owners - Total";"Softwood (conifers)";121202
"1987";"Switzerland";"St. Gallen";"Private forest";"Species - Total";121451
"1987";"Switzerland";"St. Gallen";"Private forest";"Hardwood (deciduous)";97173
"1987";"Switzerland";"St. Gallen";"Private forest";"Softwood (conifers)";24278
"1987";"Switzerland";"St. Gallen";"Public forest";"Species - Total";342936
"1987";"Switzerland";"St. Gallen";"Public forest";"Hardwood (deciduous)";246012
"1987";"Switzerland";"St. Gallen";"Public forest";"Softwood (conifers)";96924
"1987";"Switzerland";"Graubünden / Grigioni / Grischun";"Type of owners - Total";"Species - Total";731295
"1987";"Switzerland";"Graubünden / Grigioni / Grischun";"Type of owners - Total";"Hardwood (deciduous)";598095
"1987";"Switzerland";"Graubünden / Grigioni / Grischun";"Type of owners - Total";"Softwood (conifers)";133200
"1987";"Switzerland";"Graubünden / Grigioni / Grischun";"Private forest";"Species - Total";11050
"1987";"Switzerland";"Graubünden / Grigioni / Grischun";"Private forest";"Hardwood (deciduous)";9550
"1987";"Switzerland";"Graubünden / Grigioni / Grischun";"Private forest";"Softwood (conifers)";1500
"1987";"Switzerland";"Graubünden / Grigioni / Grischun";"Public forest";"Species - Total";720245
"1987";"Switzerland";"Graubünden / Grigioni / Grischun";"Public forest";"Hardwood (deciduous)";588545
"1987";"Switzerland";"Graubünden / Grigioni / Grischun";"Public forest";"Softwood (conifers)";131700
"1987";"Switzerland";"Thurgau";"Type of owners - Total";"Species - Total";478182
"1987";"Switzerland";"Thurgau";"Type of owners - Total";"Hardwood (deciduous)";294626
"1987";"Switzerland";"Thurgau";"Type of owners - Total";"Softwood (conifers)";183556
"1987";"Switzerland";"Thurgau";"Private forest";"Species - Total";221845
"1987";"Switzerland";"Thurgau";"Private forest";"Hardwood (deciduous)";155013
"1987";"Switzerland";"Thurgau";"Private forest";"Softwood (conifers)";66832
"1987";"Switzerland";"Thurgau";"Public forest";"Species - Total";256337
"1987";"Switzerland";"Thurgau";"Public forest";"Hardwood (deciduous)";139613
"1987";"Switzerland";"Thurgau";"Public forest";"Softwood (conifers)";116724
"1987";"Jura";"Glarus";"Type of owners - Total";"Species - Total";0
"1987";"Jura";"Glarus";"Type of owners - Total";"Hardwood (deciduous)";0
"1987";"Jura";"Glarus";"Type of owners - Total";"Softwood (conifers)";0
"1987";"Jura";"Glarus";"Private forest";"Species - Total";0
"1987";"Jura";"Glarus";"Private forest";"Hardwood (deciduous)";0
"1987";"Jura";"Glarus";"Private forest";"Softwood (conifers)";0
"1987";"Jura";"Glarus";"Public forest";"Species - Total";0
"1987";"Jura";"Glarus";"Public forest";"Hardwood (deciduous)";0
"1987";"Jura";"Glarus";"Public forest";"Softwood (conifers)";0
"1987";"Jura";"Schaffhausen";"Type of owners - Total";"Species - Total";204410
"1987";"Jura";"Schaffhausen";"Type of owners - Total";"Hardwood (deciduous)";125700
"1987";"Jura";"Schaffhausen";"Type of owners - Total";"Softwood (conifers)";78710
"1987";"Jura";"Schaffhausen";"Private forest";"Species - Total";12865
"1987";"Jura";"Schaffhausen";"Private forest";"Hardwood (deciduous)";9240
"1987";"Jura";"Schaffhausen";"Private forest";"Softwood (conifers)";3625
"1987";"Jura";"Schaffhausen";"Public forest";"Species - Total";191545
"1987";"Jura";"Schaffhausen";"Public forest";"Hardwood (deciduous)";116460
"1987";"Jura";"Schaffhausen";"Public forest";"Softwood (conifers)";75085
"1987";"Jura";"Appenzell Ausserrhoden";"Type of owners - Total";"Species - Total";0
"1987";"Jura";"Appenzell Ausserrhoden";"Type of owners - Total";"Hardwood (deciduous)";0
"1987";"Jura";"Appenzell Ausserrhoden";"Type of owners - Total";"Softwood (conifers)";0
"1987";"Jura";"Appenzell Ausserrhoden";"Private forest";"Species - Total";0
"1987";"Jura";"Appenzell Ausserrhoden";"Private forest";"Hardwood (deciduous)";0
"1987";"Jura";"Appenzell Ausserrhoden";"Private forest";"Softwood (conifers)";0
"1987";"Jura";"Appenzell Ausserrhoden";"Public forest";"Species - Total";0
"1987";"Jura";"Appenzell Ausserrhoden";"Public forest";"Hardwood (deciduous)";0
"1987";"Jura";"Appenzell Ausserrhoden";"Public forest";"Softwood (conifers)";0
"1987";"Jura";"Appenzell Innerrhoden";"Type of owners - Total";"Species - Total";0
"1987";"Jura";"Appenzell Innerrhoden";"Type of owners - Total";"Hardwood (deciduous)";0
"1987";"Jura";"Appenzell Innerrhoden";"Type of owners - Total";"Softwood (conifers)";0
"1987";"Jura";"Appenzell Innerrhoden";"Private forest";"Species - Total";0
"1987";"Jura";"Appenzell Innerrhoden";"Private forest";"Hardwood (deciduous)";0
"1987";"Jura";"Appenzell Innerrhoden";"Private forest";"Softwood (conifers)";0
"1987";"Jura";"Appenzell Innerrhoden";"Public forest";"Species - Total";0
"1987";"Jura";"Appenzell Innerrhoden";"Public forest";"Hardwood (deciduous)";0
"1987";"Jura";"Appenzell Innerrhoden";"Public forest";"Softwood (conifers)";0
"1987";"Jura";"St. Gallen";"Type of owners - Total";"Species - Total";0
"1987";"Jura";"St. Gallen";"Type of owners - Total";"Hardwood (deciduous)";0
"1987";"Jura";"St. Gallen";"Type of owners - Total";"Softwood (conifers)";0
"1987";"Jura";"St. Gallen";"Private forest";"Species - Total";0
"1987";"Jura";"St. Gallen";"Private forest";"Hardwood (deciduous)";0
"1987";"Jura";"St. Gallen";"Private forest";"Softwood (conifers)";0
"1987";"Jura";"St. Gallen";"Public forest";"Species - Total";0
"1987";"Jura";"St. Gallen";"Public forest";"Hardwood (deciduous)";0
"1987";"Jura";"St. Gallen";"Public forest";"Softwood (conifers)";0
"1987";"Jura";"Graubünden / Grigioni / Grischun";"Type of owners - Total";"Species - Total";0
"1987";"Jura";"Graubünden / Grigioni / Grischun";"Type of owners - Total";"Hardwood (deciduous)";0
"1987";"Jura";"Graubünden / Grigioni / Grischun";"Type of owners - Total";"Softwood (conifers)";0
"1987";"Jura";"Graubünden / Grigioni / Grischun";"Private forest";"Species - Total";0
"1987";"Jura";"Graubünden / Grigioni / Grischun";"Private forest";"Hardwood (deciduous)";0
"1987";"Jura";"Graubünden / Grigioni / Grischun";"Private forest";"Softwood (conifers)";0
"1987";"Jura";"Graubünden / Grigioni / Grischun";"Public forest";"Species - Total";0
"1987";"Jura";"Graubünden / Grigioni / Grischun";"Public forest";"Hardwood (deciduous)";0
"1987";"Jura";"Graubünden / Grigioni / Grischun";"Public forest";"Softwood (conifers)";0
"1987";"Jura";"Thurgau";"Type of owners - Total";"Species - Total";0
"1987";"Jura";"Thurgau";"Type of owners - Total";"Hardwood (deciduous)";0
"1987";"Jura";"Thurgau";"Type of owners - Total";"Softwood (conifers)";0
"1987";"Jura";"Thurgau";"Private forest";"Species - Total";0
"1987";"Jura";"Thurgau";"Private forest";"Hardwood (deciduous)";0
"1987";"Jura";"Thurgau";"Private forest";"Softwood (conifers)";0
"1987";"Jura";"Thurgau";"Public forest";"Species - Total";0
"1987";"Jura";"Thurgau";"Public forest";"Hardwood (deciduous)";0
"1987";"Jura";"Thurgau";"Public forest";"Softwood (conifers)";0
"1987";"Central Plain";"Glarus";"Type of owners - Total";"Species - Total";0
"1987";"Central Plain";"Glarus";"Type of owners - Total";"Hardwood (deciduous)";0
"1987";"Central Plain";"Glarus";"Type of owners - Total";"Softwood (conifers)";0
"1987";"Central Plain";"Glarus";"Private forest";"Species - Total";0
"1987";"Central Plain";"Glarus";"Private forest";"Hardwood (deciduous)";0
"1987";"Central Plain";"Glarus";"Private forest";"Softwood (conifers)";0
"1987";"Central Plain";"Glarus";"Public forest";"Species - Total";0
"1987";"Central Plain";"Glarus";"Public forest";"Hardwood (deciduous)";0
"1987";"Central Plain";"Glarus";"Public forest";"Softwood (conifers)";0
"1987";"Central Plain";"Schaffhausen";"Type of owners - Total";"Species - Total";11080
"1987";"Central Plain";"Schaffhausen";"Type of owners - Total";"Hardwood (deciduous)";2980
"1987";"Central Plain";"Schaffhausen";"Type of owners - Total";"Softwood (conifers)";8100
"1987";"Central Plain";"Schaffhausen";"Private forest";"Species - Total";1500
"1987";"Central Plain";"Schaffhausen";"Private forest";"Hardwood (deciduous)";600
"1987";"Central Plain";"Schaffhausen";"Private forest";"Softwood (conifers)";900
"1987";"Central Plain";"Schaffhausen";"Public forest";"Species - Total";9580
"1987";"Central Plain";"Schaffhausen";"Public forest";"Hardwood (deciduous)";2380
"1987";"Central Plain";"Schaffhausen";"Public forest";"Softwood (conifers)";7200
"1987";"Central Plain";"Appenzell Ausserrhoden";"Type of owners - Total";"Species - Total";0
"1987";"Central Plain";"Appenzell Ausserrhoden";"Type of owners - Total";"Hardwood (deciduous)";0
"1987";"Central Plain";"Appenzell Ausserrhoden";"Type of owners - Total";"Softwood (conifers)";0
"1987";"Central Plain";"Appenzell Ausserrhoden";"Private forest";"Species - Total";0
"1987";"Central Plain";"Appenzell Ausserrhoden";"Private forest";"Hardwood (deciduous)";0
"1987";"Central Plain";"Appenzell Ausserrhoden";"Private forest";"Softwood (conifers)";0
"1987";"Central Plain";"Appenzell Ausserrhoden";"Public forest";"Species - Total";0
"1987";"Central Plain";"Appenzell Ausserrhoden";"Public forest";"Hardwood (deciduous)";0
"1987";"Central Plain";"Appenzell Ausserrhoden";"Public forest";"Softwood (conifers)";0
"1987";"Central Plain";"Appenzell Innerrhoden";"Type of owners - Total";"Species - Total";0
"1987";"Central Plain";"Appenzell Innerrhoden";"Type of owners - Total";"Hardwood (deciduous)";0
"1987";"Central Plain";"Appenzell Innerrhoden";"Type of owners - Total";"Softwood (conifers)";0
"1987";"Central Plain";"Appenzell Innerrhoden";"Private forest";"Species - Total";0
"1987";"Central Plain";"Appenzell Innerrhoden";"Private forest";"Hardwood (deciduous)";0
"1987";"Central Plain";"Appenzell Innerrhoden";"Private forest";"Softwood (conifers)";0
"1987";"Central Plain";"Appenzell Innerrhoden";"Public forest";"Species - Total";0
"1987";"Central Plain";"Appenzell Innerrhoden";"Public forest";"Hardwood (deciduous)";0
"1987";"Central Plain";"Appenzell Innerrhoden";"Public forest";"Softwood (conifers)";0
"1987";"Central Plain";"St. Gallen";"Type of owners - Total";"Species - Total";166955
"1987";"Central Plain";"St. Gallen";"Type of owners - Total";"Hardwood (deciduous)";114636
"1987";"Central Plain";"St. Gallen";"Type of owners - Total";"Softwood (conifers)";52319
"1987";"Central Plain";"St. Gallen";"Private forest";"Species - Total";66711
"1987";"Central Plain";"St. Gallen";"Private forest";"Hardwood (deciduous)";52123
"1987";"Central Plain";"St. Gallen";"Private forest";"Softwood (conifers)";14588
"1987";"Central Plain";"St. Gallen";"Public forest";"Species - Total";100244
"1987";"Central Plain";"St. Gallen";"Public forest";"Hardwood (deciduous)";62513
"1987";"Central Plain";"St. Gallen";"Public forest";"Softwood (conifers)";37731
"1987";"Central Plain";"Graubünden / Grigioni / Grischun";"Type of owners - Total";"Species - Total";0
"1987";"Central Plain";"Graubünden / Grigioni / Grischun";"Type of owners - Total";"Hardwood (deciduous)";0
"1987";"Central Plain";"Graubünden / Grigioni / Grischun";"Type of owners - Total";"Softwood (conifers)";0
"1987";"Central Plain";"Graubünden / Grigioni / Grischun";"Private forest";"Species - Total";0
"1987";"Central Plain";"Graubünden / Grigioni / Grischun";"Private forest";"Hardwood (deciduous)";0
"1987";"Central Plain";"Graubünden / Grigioni / Grischun";"Private forest";"Softwood (conifers)";0
"1987";"Central Plain";"Graubünden / Grigioni / Grischun";"Public forest";"Species - Total";0
"1987";"Central Plain";"Graubünden / Grigioni / Grischun";"Public forest";"Hardwood (deciduous)";0
"1987";"Central Plain";"Graubünden / Grigioni / Grischun";"Public forest";"Softwood (conifers)";0
"1987";"Central Plain";"Thurgau";"Type of owners - Total";"Species - Total";478182
"1987";"Central Plain";"Thurgau";"Type of owners - Total";"Hardwood (deciduous)";294626
"1987";"Central Plain";"Thurgau";"Type of owners - Total";"Softwood (conifers)";183556
"1987";"Central Plain";"Thurgau";"Private forest";"Species - Total";221845
"1987";"Central Plain";"Thurgau";"Private forest";"Hardwood (deciduous)";155013
"1987";"Central Plain";"Thurgau";"Private forest";"Softwood (conifers)";66832
"1987";"Central Plain";"Thurgau";"Public forest";"Species - Total";256337
"1987";"Central Plain";"Thurgau";"Public forest";"Hardwood (deciduous)";139613
"1987";"Central Plain";"Thurgau";"Public forest";"Softwood (conifers)";116724
"1987";"Prealps";"Glarus";"Type of owners - Total";"Species - Total";0
"1987";"Prealps";"Glarus";"Type of owners - Total";"Hardwood (deciduous)";0
"1987";"Prealps";"Glarus";"Type of owners - Total";"Softwood (conifers)";0
"1987";"Prealps";"Glarus";"Private forest";"Species - Total";0
"1987";"Prealps";"Glarus";"Private forest";"Hardwood (deciduous)";0
"1987";"Prealps";"Glarus";"Private forest";"Softwood (conifers)";0
"1987";"Prealps";"Glarus";"Public forest";"Species - Total";0
"1987";"Prealps";"Glarus";"Public forest";"Hardwood (deciduous)";0
"1987";"Prealps";"Glarus";"Public forest";"Softwood (conifers)";0
"1987";"Prealps";"Schaffhausen";"Type of owners - Total";"Species - Total";0
"1987";"Prealps";"Schaffhausen";"Type of owners - Total";"Hardwood (deciduous)";0
"1987";"Prealps";"Schaffhausen";"Type of owners - Total";"Softwood (conifers)";0
"1987";"Prealps";"Schaffhausen";"Private forest";"Species - Total";0
"1987";"Prealps";"Schaffhausen";"Private forest";"Hardwood (deciduous)";0
"1987";"Prealps";"Schaffhausen";"Private forest";"Softwood (conifers)";0
"1987";"Prealps";"Schaffhausen";"Public forest";"Species - Total";0
"1987";"Prealps";"Schaffhausen";"Public forest";"Hardwood (deciduous)";0
"1987";"Prealps";"Schaffhausen";"Public forest";"Softwood (conifers)";0
"1987";"Prealps";"Appenzell Ausserrhoden";"Type of owners - Total";"Species - Total";37920
"1987";"Prealps";"Appenzell Ausserrhoden";"Type of owners - Total";"Hardwood (deciduous)";33955
"1987";"Prealps";"Appenzell Ausserrhoden";"Type of owners - Total";"Softwood (conifers)";3965
"1987";"Prealps";"Appenzell Ausserrhoden";"Private forest";"Species - Total";27050
"1987";"Prealps";"Appenzell Ausserrhoden";"Private forest";"Hardwood (deciduous)";25010
"1987";"Prealps";"Appenzell Ausserrhoden";"Private forest";"Softwood (conifers)";2040
"1987";"Prealps";"Appenzell Ausserrhoden";"Public forest";"Species - Total";10870
"1987";"Prealps";"Appenzell Ausserrhoden";"Public forest";"Hardwood (deciduous)";8945
"1987";"Prealps";"Appenzell Ausserrhoden";"Public forest";"Softwood (conifers)";1925
"1987";"Prealps";"Appenzell Innerrhoden";"Type of owners - Total";"Species - Total";10366
"1987";"Prealps";"Appenzell Innerrhoden";"Type of owners - Total";"Hardwood (deciduous)";10182
"1987";"Prealps";"Appenzell Innerrhoden";"Type of owners - Total";"Softwood (conifers)";184
"1987";"Prealps";"Appenzell Innerrhoden";"Private forest";"Species - Total";4656
"1987";"Prealps";"Appenzell Innerrhoden";"Private forest";"Hardwood (deciduous)";4472
"1987";"Prealps";"Appenzell Innerrhoden";"Private forest";"Softwood (conifers)";184
"1987";"Prealps";"Appenzell Innerrhoden";"Public forest";"Species - Total";5710
"1987";"Prealps";"Appenzell Innerrhoden";"Public forest";"Hardwood (deciduous)";5710
"1987";"Prealps";"Appenzell Innerrhoden";"Public forest";"Softwood (conifers)";0
"1987";"Prealps";"St. Gallen";"Type of owners - Total";"Species - Total";243477
"1987";"Prealps";"St. Gallen";"Type of owners - Total";"Hardwood (deciduous)";185427
"1987";"Prealps";"St. Gallen";"Type of owners - Total";"Softwood (conifers)";58050
"1987";"Prealps";"St. Gallen";"Private forest";"Species - Total";46925
"1987";"Prealps";"St. Gallen";"Private forest";"Hardwood (deciduous)";39915
"1987";"Prealps";"St. Gallen";"Private forest";"Softwood (conifers)";7010
"1987";"Prealps";"St. Gallen";"Public forest";"Species - Total";196552
"1987";"Prealps";"St. Gallen";"Public forest";"Hardwood (deciduous)";145512
"1987";"Prealps";"St. Gallen";"Public forest";"Softwood (conifers)";51040
"1987";"Prealps";"Graubünden / Grigioni / Grischun";"Type of owners - Total";"Species - Total";0
"1987";"Prealps";"Graubünden / Grigioni / Grischun";"Type of owners - Total";"Hardwood (deciduous)";0
"1987";"Prealps";"Graubünden / Grigioni / Grischun";"Type of owners - Total";"Softwood (conifers)";0
"1987";"Prealps";"Graubünden / Grigioni / Grischun";"Private forest";"Species - Total";0
"1987";"Prealps";"Graubünden / Grigioni / Grischun";"Private forest";"Hardwood (deciduous)";0
"1987";"Prealps";"Graubünden / Grigioni / Grischun";"Private forest";"Softwood (conifers)";0
"1987";"Prealps";"Graubünden / Grigioni / Grischun";"Public forest";"Species - Total";0
"1987";"Prealps";"Graubünden / Grigioni / Grischun";"Public forest";"Hardwood (deciduous)";0
"1987";"Prealps";"Graubünden / Grigioni / Grischun";"Public forest";"Softwood (conifers)";0
"1987";"Prealps";"Thurgau";"Type of owners - Total";"Species - Total";0
"1987";"Prealps";"Thurgau";"Type of owners - Total";"Hardwood (deciduous)";0
"1987";"Prealps";"Thurgau";"Type of owners - Total";"Softwood (conifers)";0
"1987";"Prealps";"Thurgau";"Private forest";"Species - Total";0
"1987";"Prealps";"Thurgau";"Private forest";"Hardwood (deciduous)";0
"1987";"Prealps";"Thurgau";"Private forest";"Softwood (conifers)";0
"1987";"Prealps";"Thurgau";"Public forest";"Species - Total";0
"1987";"Prealps";"Thurgau";"Public forest";"Hardwood (deciduous)";0
"1987";"Prealps";"Thurgau";"Public forest";"Softwood (conifers)";0
"1987";"Alps";"Glarus";"Type of owners - Total";"Species - Total";61065
"1987";"Alps";"Glarus";"Type of owners - Total";"Hardwood (deciduous)";58605
"1987";"Alps";"Glarus";"Type of owners - Total";"Softwood (conifers)";2460
"1987";"Alps";"Glarus";"Private forest";"Species - Total";800
"1987";"Alps";"Glarus";"Private forest";"Hardwood (deciduous)";800
"1987";"Alps";"Glarus";"Private forest";"Softwood (conifers)";0
"1987";"Alps";"Glarus";"Public forest";"Species - Total";60265
"1987";"Alps";"Glarus";"Public forest";"Hardwood (deciduous)";57805
"1987";"Alps";"Glarus";"Public forest";"Softwood (conifers)";2460
"1987";"Alps";"Schaffhausen";"Type of owners - Total";"Species - Total";0
"1987";"Alps";"Schaffhausen";"Type of owners - Total";"Hardwood (deciduous)";0
"1987";"Alps";"Schaffhausen";"Type of owners - Total";"Softwood (conifers)";0
"1987";"Alps";"Schaffhausen";"Private forest";"Species - Total";0
"1987";"Alps";"Schaffhausen";"Private forest";"Hardwood (deciduous)";0
"1987";"Alps";"Schaffhausen";"Private forest";"Softwood (conifers)";0
"1987";"Alps";"Schaffhausen";"Public forest";"Species - Total";0
"1987";"Alps";"Schaffhausen";"Public forest";"Hardwood (deciduous)";0
"1987";"Alps";"Schaffhausen";"Public forest";"Softwood (conifers)";0
"1987";"Alps";"Appenzell Ausserrhoden";"Type of owners - Total";"Species - Total";0
"1987";"Alps";"Appenzell Ausserrhoden";"Type of owners - Total";"Hardwood (deciduous)";0
"1987";"Alps";"Appenzell Ausserrhoden";"Type of owners - Total";"Softwood (conifers)";0
"1987";"Alps";"Appenzell Ausserrhoden";"Private forest";"Species - Total";0
"1987";"Alps";"Appenzell Ausserrhoden";"Private forest";"Hardwood (deciduous)";0
"1987";"Alps";"Appenzell Ausserrhoden";"Private forest";"Softwood (conifers)";0
"1987";"Alps";"Appenzell Ausserrhoden";"Public forest";"Species - Total";0
"1987";"Alps";"Appenzell Ausserrhoden";"Public forest";"Hardwood (deciduous)";0
"1987";"Alps";"Appenzell Ausserrhoden";"Public forest";"Softwood (conifers)";0
"1987";"Alps";"Appenzell Innerrhoden";"Type of owners - Total";"Species - Total";0
"1987";"Alps";"Appenzell Innerrhoden";"Type of owners - Total";"Hardwood (deciduous)";0
"1987";"Alps";"Appenzell Innerrhoden";"Type of owners - Total";"Softwood (conifers)";0
"1987";"Alps";"Appenzell Innerrhoden";"Private forest";"Species - Total";0
"1987";"Alps";"Appenzell Innerrhoden";"Private forest";"Hardwood (deciduous)";0
"1987";"Alps";"Appenzell Innerrhoden";"Private forest";"Softwood (conifers)";0
"1987";"Alps";"Appenzell Innerrhoden";"Public forest";"Species - Total";0
"1987";"Alps";"Appenzell Innerrhoden";"Public forest";"Hardwood (deciduous)";0
"1987";"Alps";"Appenzell Innerrhoden";"Public forest";"Softwood (conifers)";0
"1987";"Alps";"St. Gallen";"Type of owners - Total";"Species - Total";53955
"1987";"Alps";"St. Gallen";"Type of owners - Total";"Hardwood (deciduous)";43122
"1987";"Alps";"St. Gallen";"Type of owners - Total";"Softwood (conifers)";10833
"1987";"Alps";"St. Gallen";"Private forest";"Species - Total";7815
"1987";"Alps";"St. Gallen";"Private forest";"Hardwood (deciduous)";5135
"1987";"Alps";"St. Gallen";"Private forest";"Softwood (conifers)";2680
"1987";"Alps";"St. Gallen";"Public forest";"Species - Total";46140
"1987";"Alps";"St. Gallen";"Public forest";"Hardwood (deciduous)";37987
"1987";"Alps";"St. Gallen";"Public forest";"Softwood (conifers)";8153
"1987";"Alps";"Graubünden / Grigioni / Grischun";"Type of owners - Total";"Species - Total";716095
"1987";"Alps";"Graubünden / Grigioni / Grischun";"Type of owners - Total";"Hardwood (deciduous)";584595
"1987";"Alps";"Graubünden / Grigioni / Grischun";"Type of owners - Total";"Softwood (conifers)";131500
"1987";"Alps";"Graubünden / Grigioni / Grischun";"Private forest";"Species - Total";11050
"1987";"Alps";"Graubünden / Grigioni / Grischun";"Private forest";"Hardwood (deciduous)";9550
"1987";"Alps";"Graubünden / Grigioni / Grischun";"Private forest";"Softwood (conifers)";1500
"1987";"Alps";"Graubünden / Grigioni / Grischun";"Public forest";"Species - Total";705045
"1987";"Alps";"Graubünden / Grigioni / Grischun";"Public forest";"Hardwood (deciduous)";575045
"1987";"Alps";"Graubünden / Grigioni / Grischun";"Public forest";"Softwood (conifers)";130000
"1987";"Alps";"Thurgau";"Type of owners - Total";"Species - Total";0
"1987";"Alps";"Thurgau";"Type of owners - Total";"Hardwood (deciduous)";0
"1987";"Alps";"Thurgau";"Type of owners - Total";"Softwood (conifers)";0
"1987";"Alps";"Thurgau";"Private forest";"Species - Total";0
"1987";"Alps";"Thurgau";"Private forest";"Hardwood (deciduous)";0
"1987";"Alps";"Thurgau";"Private forest";"Softwood (conifers)";0
"1987";"Alps";"Thurgau";"Public forest";"Species - Total";0
"1987";"Alps";"Thurgau";"Public forest";"Hardwood (deciduous)";0
"1987";"Alps";"Thurgau";"Public forest";"Softwood (conifers)";0
"1987";"Southern Alps";"Glarus";"Type of owners - Total";"Species - Total";0
"1987";"Southern Alps";"Glarus";"Type of owners - Total";"Hardwood (deciduous)";0
"1987";"Southern Alps";"Glarus";"Type of owners - Total";"Softwood (conifers)";0
"1987";"Southern Alps";"Glarus";"Private forest";"Species - Total";0
"1987";"Southern Alps";"Glarus";"Private forest";"Hardwood (deciduous)";0
"1987";"Southern Alps";"Glarus";"Private forest";"Softwood (conifers)";0
"1987";"Southern Alps";"Glarus";"Public forest";"Species - Total";0
"1987";"Southern Alps";"Glarus";"Public forest";"Hardwood (deciduous)";0
"1987";"Southern Alps";"Glarus";"Public forest";"Softwood (conifers)";0
"1987";"Southern Alps";"Schaffhausen";"Type of owners - Total";"Species - Total";0
"1987";"Southern Alps";"Schaffhausen";"Type of owners - Total";"Hardwood (deciduous)";0
"1987";"Southern Alps";"Schaffhausen";"Type of owners - Total";"Softwood (conifers)";0
"1987";"Southern Alps";"Schaffhausen";"Private forest";"Species - Total";0
"1987";"Southern Alps";"Schaffhausen";"Private forest";"Hardwood (deciduous)";0
"1987";"Southern Alps";"Schaffhausen";"Private forest";"Softwood (conifers)";0
"1987";"Southern Alps";"Schaffhausen";"Public forest";"Species - Total";0
"1987";"Southern Alps";"Schaffhausen";"Public forest";"Hardwood (deciduous)";0
"1987";"Southern Alps";"Schaffhausen";"Public forest";"Softwood (conifers)";0
"1987";"Southern Alps";"Appenzell Ausserrhoden";"Type of owners - Total";"Species - Total";0
"1987";"Southern Alps";"Appenzell Ausserrhoden";"Type of owners - Total";"Hardwood (deciduous)";0
"1987";"Southern Alps";"Appenzell Ausserrhoden";"Type of owners - Total";"Softwood (conifers)";0
"1987";"Southern Alps";"Appenzell Ausserrhoden";"Private forest";"Species - Total";0
"1987";"Southern Alps";"Appenzell Ausserrhoden";"Private forest";"Hardwood (deciduous)";0
"1987";"Southern Alps";"Appenzell Ausserrhoden";"Private forest";"Softwood (conifers)";0
"1987";"Southern Alps";"Appenzell Ausserrhoden";"Public forest";"Species - Total";0
"1987";"Southern Alps";"Appenzell Ausserrhoden";"Public forest";"Hardwood (deciduous)";0
"1987";"Southern Alps";"Appenzell Ausserrhoden";"Public forest";"Softwood (conifers)";0
"1987";"Southern Alps";"Appenzell Innerrhoden";"Type of owners - Total";"Species - Total";0
"1987";"Southern Alps";"Appenzell Innerrhoden";"Type of owners - Total";"Hardwood (deciduous)";0
"1987";"Southern Alps";"Appenzell Innerrhoden";"Type of owners - Total";"Softwood (conifers)";0
"1987";"Southern Alps";"Appenzell Innerrhoden";"Private forest";"Species - Total";0
"1987";"Southern Alps";"Appenzell Innerrhoden";"Private forest";"Hardwood (deciduous)";0
"1987";"Southern Alps";"Appenzell Innerrhoden";"Private forest";"Softwood (conifers)";0
"1987";"Southern Alps";"Appenzell Innerrhoden";"Public forest";"Species - Total";0
"1987";"Southern Alps";"Appenzell Innerrhoden";"Public forest";"Hardwood (deciduous)";0
"1987";"Southern Alps";"Appenzell Innerrhoden";"Public forest";"Softwood (conifers)";0
"1987";"Southern Alps";"St. Gallen";"Type of owners - Total";"Species - Total";0
"1987";"Southern Alps";"St. Gallen";"Type of owners - Total";"Hardwood (deciduous)";0
"1987";"Southern Alps";"St. Gallen";"Type of owners - Total";"Softwood (conifers)";0
"1987";"Southern Alps";"St. Gallen";"Private forest";"Species - Total";0
"1987";"Southern Alps";"St. Gallen";"Private forest";"Hardwood (deciduous)";0
"1987";"Southern Alps";"St. Gallen";"Private forest";"Softwood (conifers)";0
"1987";"Southern Alps";"St. Gallen";"Public forest";"Species - Total";0
"1987";"Southern Alps";"St. Gallen";"Public forest";"Hardwood (deciduous)";0
"1987";"Southern Alps";"St. Gallen";"Public forest";"Softwood (conifers)";0
"1987";"Southern Alps";"Graubünden / Grigioni / Grischun";"Type of owners - Total";"Species - Total";15200
"1987";"Southern Alps";"Graubünden / Grigioni / Grischun";"Type of owners - Total";"Hardwood (deciduous)";13500
"1987";"Southern Alps";"Graubünden / Grigioni / Grischun";"Type of owners - Total";"Softwood (conifers)";1700
"1987";"Southern Alps";"Graubünden / Grigioni / Grischun";"Private forest";"Species - Total";0
"1987";"Southern Alps";"Graubünden / Grigioni / Grischun";"Private forest";"Hardwood (deciduous)";0
"1987";"Southern Alps";"Graubünden / Grigioni / Grischun";"Private forest";"Softwood (conifers)";0
"1987";"Southern Alps";"Graubünden / Grigioni / Grischun";"Public forest";"Species - Total";15200
"1987";"Southern Alps";"Graubünden / Grigioni / Grischun";"Public forest";"Hardwood (deciduous)";13500
"1987";"Southern Alps";"Graubünden / Grigioni / Grischun";"Public forest";"Softwood (conifers)";1700
"1987";"Southern Alps";"Thurgau";"Type of owners - Total";"Species - Total";0
"1987";"Southern Alps";"Thurgau";"Type of owners - Total";"Hardwood (deciduous)";0
"1987";"Southern Alps";"Thurgau";"Type of owners - Total";"Softwood (conifers)";0
"1987";"Southern Alps";"Thurgau";"Private forest";"Species - Total";0
"1987";"Southern Alps";"Thurgau";"Private forest";"Hardwood (deciduous)";0
"1987";"Southern Alps";"Thurgau";"Private forest";"Softwood (conifers)";0
