"Number of plantations in Swiss forest"

"Year";"Forest zone";"Canton";"Type of owner";"Wood species";"Number of plantations"
"1975";"Jura";"Glarus";"Type of owners - Total";"Hardwood (deciduous)";0
"1975";"Jura";"Glarus";"Type of owners - Total";"Softwood (conifers)";0
"1975";"Jura";"Glarus";"Private forest";"Species - Total";0
"1975";"Jura";"Glarus";"Private forest";"Hardwood (deciduous)";0
"1975";"Jura";"Glarus";"Private forest";"Softwood (conifers)";0
"1975";"Jura";"Glarus";"Public forest";"Species - Total";0
"1975";"Jura";"Glarus";"Public forest";"Hardwood (deciduous)";0
"1975";"Jura";"Glarus";"Public forest";"Softwood (conifers)";0
"1975";"Jura";"Schaffhausen";"Type of owners - Total";"Species - Total";349650
"1975";"Jura";"Schaffhausen";"Type of owners - Total";"Hardwood (deciduous)";311760
"1975";"Jura";"Schaffhausen";"Type of owners - Total";"Softwood (conifers)";37890
"1975";"Jura";"Schaffhausen";"Private forest";"Species - Total";34180
"1975";"Jura";"Schaffhausen";"Private forest";"Hardwood (deciduous)";33080
"1975";"Jura";"Schaffhausen";"Private forest";"Softwood (conifers)";1100
"1975";"Jura";"Schaffhausen";"Public forest";"Species - Total";315470
"1975";"Jura";"Schaffhausen";"Public forest";"Hardwood (deciduous)";278680
"1975";"Jura";"Schaffhausen";"Public forest";"Softwood (conifers)";36790
"1975";"Jura";"Appenzell Ausserrhoden";"Type of owners - Total";"Species - Total";0
"1975";"Jura";"Appenzell Ausserrhoden";"Type of owners - Total";"Hardwood (deciduous)";0
"1975";"Jura";"Appenzell Ausserrhoden";"Type of owners - Total";"Softwood (conifers)";0
"1975";"Jura";"Appenzell Ausserrhoden";"Private forest";"Species - Total";0
"1975";"Jura";"Appenzell Ausserrhoden";"Private forest";"Hardwood (deciduous)";0
"1975";"Jura";"Appenzell Ausserrhoden";"Private forest";"Softwood (conifers)";0
"1975";"Jura";"Appenzell Ausserrhoden";"Public forest";"Species - Total";0
"1975";"Jura";"Appenzell Ausserrhoden";"Public forest";"Hardwood (deciduous)";0
"1975";"Jura";"Appenzell Ausserrhoden";"Public forest";"Softwood (conifers)";0
"1975";"Jura";"Appenzell Innerrhoden";"Type of owners - Total";"Species - Total";0
"1975";"Jura";"Appenzell Innerrhoden";"Type of owners - Total";"Hardwood (deciduous)";0
"1975";"Jura";"Appenzell Innerrhoden";"Type of owners - Total";"Softwood (conifers)";0
"1975";"Jura";"Appenzell Innerrhoden";"Private forest";"Species - Total";0
"1975";"Jura";"Appenzell Innerrhoden";"Private forest";"Hardwood (deciduous)";0
"1975";"Jura";"Appenzell Innerrhoden";"Private forest";"Softwood (conifers)";0
"1975";"Jura";"Appenzell Innerrhoden";"Public forest";"Species - Total";0
"1975";"Jura";"Appenzell Innerrhoden";"Public forest";"Hardwood (deciduous)";0
"1975";"Jura";"Appenzell Innerrhoden";"Public forest";"Softwood (conifers)";0
"1975";"Jura";"St. Gallen";"Type of owners - Total";"Species - Total";0
"1975";"Jura";"St. Gallen";"Type of owners - Total";"Hardwood (deciduous)";0
"1975";"Jura";"St. Gallen";"Type of owners - Total";"Softwood (conifers)";0
"1975";"Jura";"St. Gallen";"Private forest";"Species - Total";0
"1975";"Jura";"St. Gallen";"Private forest";"Hardwood (deciduous)";0
"1975";"Jura";"St. Gallen";"Private forest";"Softwood (conifers)";0
"1975";"Jura";"St. Gallen";"Public forest";"Species - Total";0
"1975";"Jura";"St. Gallen";"Public forest";"Hardwood (deciduous)";0
"1975";"Jura";"St. Gallen";"Public forest";"Softwood (conifers)";0
"1975";"Jura";"Graubünden / Grigioni / Grischun";"Type of owners - Total";"Species - Total";0
"1975";"Jura";"Graubünden / Grigioni / Grischun";"Type of owners - Total";"Hardwood (deciduous)";0
"1975";"Jura";"Graubünden / Grigioni / Grischun";"Type of owners - Total";"Softwood (conifers)";0
"1975";"Jura";"Graubünden / Grigioni / Grischun";"Private forest";"Species - Total";0
"1975";"Jura";"Graubünden / Grigioni / Grischun";"Private forest";"Hardwood (deciduous)";0
"1975";"Jura";"Graubünden / Grigioni / Grischun";"Private forest";"Softwood (conifers)";0
"1975";"Jura";"Graubünden / Grigioni / Grischun";"Public forest";"Species - Total";0
"1975";"Jura";"Graubünden / Grigioni / Grischun";"Public forest";"Hardwood (deciduous)";0
"1975";"Jura";"Graubünden / Grigioni / Grischun";"Public forest";"Softwood (conifers)";0
"1975";"Jura";"Thurgau";"Type of owners - Total";"Species - Total";0
"1975";"Jura";"Thurgau";"Type of owners - Total";"Hardwood (deciduous)";0
"1975";"Jura";"Thurgau";"Type of owners - Total";"Softwood (conifers)";0
"1975";"Jura";"Thurgau";"Private forest";"Species - Total";0
"1975";"Jura";"Thurgau";"Private forest";"Hardwood (deciduous)";0
"1975";"Jura";"Thurgau";"Private forest";"Softwood (conifers)";0
"1975";"Jura";"Thurgau";"Public forest";"Species - Total";0
"1975";"Jura";"Thurgau";"Public forest";"Hardwood (deciduous)";0
"1975";"Jura";"Thurgau";"Public forest";"Softwood (conifers)";0
"1975";"Central Plain";"Glarus";"Type of owners - Total";"Species - Total";0
"1975";"Central Plain";"Glarus";"Type of owners - Total";"Hardwood (deciduous)";0
"1975";"Central Plain";"Glarus";"Type of owners - Total";"Softwood (conifers)";0
"1975";"Central Plain";"Glarus";"Private forest";"Species - Total";0
"1975";"Central Plain";"Glarus";"Private forest";"Hardwood (deciduous)";0
"1975";"Central Plain";"Glarus";"Private forest";"Softwood (conifers)";0
"1975";"Central Plain";"Glarus";"Public forest";"Species - Total";0
"1975";"Central Plain";"Glarus";"Public forest";"Hardwood (deciduous)";0
"1975";"Central Plain";"Glarus";"Public forest";"Softwood (conifers)";0
"1975";"Central Plain";"Schaffhausen";"Type of owners - Total";"Species - Total";19070
"1975";"Central Plain";"Schaffhausen";"Type of owners - Total";"Hardwood (deciduous)";17170
"1975";"Central Plain";"Schaffhausen";"Type of owners - Total";"Softwood (conifers)";1900
"1975";"Central Plain";"Schaffhausen";"Private forest";"Species - Total";5800
"1975";"Central Plain";"Schaffhausen";"Private forest";"Hardwood (deciduous)";5600
"1975";"Central Plain";"Schaffhausen";"Private forest";"Softwood (conifers)";200
"1975";"Central Plain";"Schaffhausen";"Public forest";"Species - Total";13270
"1975";"Central Plain";"Schaffhausen";"Public forest";"Hardwood (deciduous)";11570
"1975";"Central Plain";"Schaffhausen";"Public forest";"Softwood (conifers)";1700
"1975";"Central Plain";"Appenzell Ausserrhoden";"Type of owners - Total";"Species - Total";0
"1975";"Central Plain";"Appenzell Ausserrhoden";"Type of owners - Total";"Hardwood (deciduous)";0
"1975";"Central Plain";"Appenzell Ausserrhoden";"Type of owners - Total";"Softwood (conifers)";0
"1975";"Central Plain";"Appenzell Ausserrhoden";"Private forest";"Species - Total";0
"1975";"Central Plain";"Appenzell Ausserrhoden";"Private forest";"Hardwood (deciduous)";0
"1975";"Central Plain";"Appenzell Ausserrhoden";"Private forest";"Softwood (conifers)";0
"1975";"Central Plain";"Appenzell Ausserrhoden";"Public forest";"Species - Total";0
