"Forest area in Switzerland, in ha"

"Year";"Forest zone";"Canton";"Type of owner";"Forest owners number";"Total forest area";"Productive forest area"
"1975";"Jura";"Appenzell Ausserrhoden";"Public forest";0;0;0
"1975";"Jura";"Appenzell Ausserrhoden";">>Federal forest";0;0;0
"1975";"Jura";"Appenzell Ausserrhoden";">>Cantonal forest";0;0;0
"1975";"Jura";"Appenzell Ausserrhoden";">>Municipality forest";0;0;0
"1975";"Jura";"Appenzell Ausserrhoden";">>Bourgeois forest";0;0;0
"1975";"Jura";"Appenzell Ausserrhoden";">>Other public forest";0;0;0
"1975";"Jura";"Appenzell Innerrhoden";"Type of owners - Total";0;0;0
"1975";"Jura";"Appenzell Innerrhoden";"Private forest";0;0;0
"1975";"Jura";"Appenzell Innerrhoden";"Public forest";0;0;0
"1975";"Jura";"Appenzell Innerrhoden";">>Federal forest";0;0;0
"1975";"Jura";"Appenzell Innerrhoden";">>Cantonal forest";0;0;0
"1975";"Jura";"Appenzell Innerrhoden";">>Municipality forest";0;0;0
"1975";"Jura";"Appenzell Innerrhoden";">>Bourgeois forest";0;0;0
"1975";"Jura";"Appenzell Innerrhoden";">>Other public forest";0;0;0
"1975";"Jura";"St. Gallen";"Type of owners - Total";0;0;0
"1975";"Jura";"St. Gallen";"Private forest";0;0;0
"1975";"Jura";"St. Gallen";"Public forest";0;0;0
"1975";"Jura";"St. Gallen";">>Federal forest";0;0;0
"1975";"Jura";"St. Gallen";">>Cantonal forest";0;0;0
"1975";"Jura";"St. Gallen";">>Municipality forest";0;0;0
"1975";"Jura";"St. Gallen";">>Bourgeois forest";0;0;0
"1975";"Jura";"St. Gallen";">>Other public forest";0;0;0
"1975";"Jura";"Graubünden / Grigioni / Grischun";"Type of owners - Total";0;0;0
"1975";"Jura";"Graubünden / Grigioni / Grischun";"Private forest";0;0;0
"1975";"Jura";"Graubünden / Grigioni / Grischun";"Public forest";0;0;0
"1975";"Jura";"Graubünden / Grigioni / Grischun";">>Federal forest";0;0;0
"1975";"Jura";"Graubünden / Grigioni / Grischun";">>Cantonal forest";0;0;0
"1975";"Jura";"Graubünden / Grigioni / Grischun";">>Municipality forest";0;0;0
"1975";"Jura";"Graubünden / Grigioni / Grischun";">>Bourgeois forest";0;0;0
"1975";"Jura";"Graubünden / Grigioni / Grischun";">>Other public forest";0;0;0
"1975";"Jura";"Thurgau";"Type of owners - Total";0;0;0
"1975";"Jura";"Thurgau";"Private forest";0;0;0
"1975";"Jura";"Thurgau";"Public forest";0;0;0
"1975";"Jura";"Thurgau";">>Federal forest";0;0;0
"1975";"Jura";"Thurgau";">>Cantonal forest";0;0;0
"1975";"Jura";"Thurgau";">>Municipality forest";0;0;0
"1975";"Jura";"Thurgau";">>Bourgeois forest";0;0;0
"1975";"Jura";"Thurgau";">>Other public forest";0;0;0
"1975";"Central Plain";"Glarus";"Type of owners - Total";0;0;0
"1975";"Central Plain";"Glarus";"Private forest";0;0;0
"1975";"Central Plain";"Glarus";"Public forest";0;0;0
"1975";"Central Plain";"Glarus";">>Federal forest";0;0;0
"1975";"Central Plain";"Glarus";">>Cantonal forest";0;0;0
"1975";"Central Plain";"Glarus";">>Municipality forest";0;0;0
